feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
lex_len,hi,en,residual,trankit,mbert-base,Medium,-0.012662477858362164
dep_len,hi,en,residual,trankit,mbert-base,High,-0.016472153205872586
dep_len,hi,en,residual,trankit,mbert-base,Low,-0.004660649739542055
sent_len,hi,en,residual,trankit,xlmr-base,High,-0.009646282049702304
sent_len,hi,en,residual,trankit,xlmr-base,Low,-0.005782798532272815
sent_len,hi,en,residual,trankit,xlmr-base,Medium,-0.012902048242562247
lex_len,hi,en,residual,trankit,xlmr-base,High,-0.011606890367925615
lex_len,hi,en,residual,trankit,xlmr-base,Low,-0.01600475499101639
lex_len,hi,en,residual,trankit,xlmr-base,Medium,-0.005896273324026868
dep_len,hi,en,residual,trankit,xlmr-base,High,-0.01631353965575133
dep_len,hi,en,residual,trankit,xlmr-base,Low,-0.003591465053306764
sent_len,hi,hi,residual,stanza,mbert-base,High,-0.011114251581737178
sent_len,hi,hi,residual,stanza,mbert-base,Medium,-0.01171889910911117
sent_len,hi,hi,residual,stanza,mbert-base,Low,-0.01296325339007487
lex_len,hi,hi,residual,stanza,mbert-base,High,-0.009687171957846075
lex_len,hi,hi,residual,stanza,mbert-base,Low,-0.011440007365148275
lex_len,hi,hi,residual,stanza,mbert-base,Medium,-0.010623557299313302
dep_len,hi,hi,residual,stanza,mbert-base,High,-0.01639557663415292
dep_len,hi,hi,residual,stanza,mbert-base,Medium,-0.015601051414851907
dep_len,hi,hi,residual,stanza,mbert-base,Low,-0.004005881616413021
sent_len,hi,hi,residual,stanza,xlmr-base,High,-0.005604259041143145
sent_len,hi,hi,residual,stanza,xlmr-base,Medium,-0.011341593728678712
sent_len,hi,hi,residual,stanza,xlmr-base,Low,-0.009767360464142616
lex_len,hi,hi,residual,stanza,xlmr-base,High,-0.009662599652675463
lex_len,hi,hi,residual,stanza,xlmr-base,Low,-0.013686988686154034
lex_len,hi,hi,residual,stanza,xlmr-base,Medium,-0.008335556593834226
dep_len,hi,hi,residual,stanza,xlmr-base,High,-0.01593679487552435
dep_len,hi,hi,residual,stanza,xlmr-base,Medium,-0.013542409888426032
dep_len,hi,hi,residual,stanza,xlmr-base,Low,-0.003604194650532966
sent_len,hi,hi,residual,trankit,mbert-base,High,-0.0066182642792409485
sent_len,hi,hi,residual,trankit,mbert-base,Medium,-0.008406917671488823
sent_len,hi,hi,residual,trankit,mbert-base,Low,-0.012262966087590699
lex_len,hi,hi,residual,trankit,mbert-base,High,-0.007932190737377498
lex_len,hi,hi,residual,trankit,mbert-base,Low,-0.013157841589404695
lex_len,hi,hi,residual,trankit,mbert-base,Medium,-0.00926919419055805
dep_len,hi,hi,residual,trankit,mbert-base,High,-0.016160657739450968
dep_len,hi,hi,residual,trankit,mbert-base,Medium,-0.013404866506780522
dep_len,hi,hi,residual,trankit,mbert-base,Low,-0.003605070739859273
sent_len,hi,hi,residual,trankit,xlmr-base,High,-0.004528757387198157
sent_len,hi,hi,residual,trankit,xlmr-base,Medium,-0.015246309578397343
sent_len,hi,hi,residual,trankit,xlmr-base,Low,-0.006848932202620728
lex_len,hi,hi,residual,trankit,xlmr-base,High,-0.007766819772241695
lex_len,hi,hi,residual,trankit,xlmr-base,Low,-0.011702385580322217
lex_len,hi,hi,residual,trankit,xlmr-base,Medium,-0.004935636708932378
dep_len,hi,hi,residual,trankit,xlmr-base,High,-0.015338118608448914
dep_len,hi,hi,residual,trankit,xlmr-base,Medium,-0.011584483045191885
dep_len,hi,hi,residual,trankit,xlmr-base,Low,-0.003506799282068651
sent_len,hi,te,residual,stanza,mbert-base,High,-0.006402201595892443
sent_len,hi,te,residual,stanza,mbert-base,Medium,-0.004064533915810631
sent_len,hi,te,residual,stanza,mbert-base,Low,-0.0093475108658152
lex_len,hi,te,residual,stanza,mbert-base,Medium,-0.010957113761883908
lex_len,hi,te,residual,stanza,mbert-base,High,-0.010415954861531573
lex_len,hi,te,residual,stanza,mbert-base,Low,-0.007621647176481061
dep_len,hi,te,residual,stanza,mbert-base,High,-0.011755414715167611
dep_len,hi,te,residual,stanza,mbert-base,Low,-0.004709750916404909
dep_len,hi,te,residual,stanza,mbert-base,Medium,-0.019567947898593285
sent_len,hi,te,residual,stanza,xlmr-base,High,-0.0059514216784368745
sent_len,hi,te,residual,stanza,xlmr-base,Low,-0.010016535797661819
sent_len,hi,te,residual,stanza,xlmr-base,Medium,0.0015744354145559303
lex_len,hi,te,residual,stanza,xlmr-base,High,-0.010077445792285311
lex_len,hi,te,residual,stanza,xlmr-base,Low,-0.007963638552927144
lex_len,hi,te,residual,stanza,xlmr-base,Medium,-0.009278696633992056
dep_len,hi,te,residual,stanza,xlmr-base,High,-0.007264858100953564
dep_len,hi,te,residual,stanza,xlmr-base,Low,-0.00428744495816491
dep_len,hi,te,residual,stanza,xlmr-base,Medium,-0.020251275840137084
sent_len,hi,te,residual,trankit,mbert-base,High,-0.004473713677013047
sent_len,hi,te,residual,trankit,mbert-base,Medium,-0.003144195726210941
