src,tgt,dep_model,gnn_model,ml_model,seed,f1
en,it,trankit,rgcn,mbert-base,98105,0.731276426528304
en,it,trankit,rgat,mbert-base,98105,0.7249335272804578
en,it,None,None,mbert-base,98105,0.7377174805657191
en,it,stanza,rgcn,mbert-base,98109,0.757897713625318
en,it,stanza,rgat,mbert-base,98109,0.7178180726409604
en,it,trankit,rgcn,mbert-base,98109,0.7024765961245096
en,it,trankit,rgat,mbert-base,98109,0.725461076579334
en,it,None,None,mbert-base,98109,0.7068521173017753
en,it,stanza,rgcn,mbert-base,15232,0.7519906815861523
en,it,stanza,rgat,mbert-base,15232,0.7321037193716964
en,it,trankit,rgcn,mbert-base,15232,0.7350765736788153
en,it,trankit,rgat,mbert-base,15232,0.7676161382137677
en,it,None,None,mbert-base,15232,0.7659062162073526
en,it,stanza,rgcn,xlmr-base,11737,0.6465542055016484
en,it,stanza,rgat,xlmr-base,11737,0.6085057847139536
en,it,trankit,rgcn,xlmr-base,11737,0.6270443610324998
en,it,trankit,rgat,xlmr-base,11737,0.5880574307262452
en,it,None,None,xlmr-base,11737,0.6937165719528402
en,it,stanza,rgcn,xlmr-base,15123,0.6652494261367543
en,it,stanza,rgat,xlmr-base,15123,0.6148097521708786
en,it,trankit,rgcn,xlmr-base,15123,0.6133205836852638
en,it,trankit,rgat,xlmr-base,15123,0.6178556823732282
en,it,None,None,xlmr-base,15123,0.5484495206355461
en,it,stanza,rgcn,xlmr-base,98105,0.5796455588923364
en,it,stanza,rgat,xlmr-base,98105,0.5925490557436328
en,it,trankit,rgcn,xlmr-base,98105,0.6543395604504052
en,it,trankit,rgat,xlmr-base,98105,0.6082994502972496
en,it,None,None,xlmr-base,98105,0.5997864475794199
en,it,stanza,rgcn,xlmr-base,98109,0.6921586726745105
en,it,stanza,rgat,xlmr-base,98109,0.6879520899318067
en,it,trankit,rgcn,xlmr-base,98109,0.6803108229928074
en,it,trankit,rgat,xlmr-base,98109,0.58840903886522
en,it,None,None,xlmr-base,98109,0.6088152104876172
en,it,stanza,rgcn,xlmr-base,15232,0.6642352983179385
en,it,stanza,rgat,xlmr-base,15232,0.6921048737610913
en,it,trankit,rgcn,xlmr-base,15232,0.5949758355157416
en,it,trankit,rgat,xlmr-base,15232,0.6464550985638664
en,it,None,None,xlmr-base,15232,0.6226081453196892
en,de,stanza,rgcn,mbert-base,11737,0.7903015680794174
en,de,stanza,rgat,mbert-base,11737,0.7977072946385255
en,de,trankit,rgcn,mbert-base,11737,0.7973935701450292
en,de,trankit,rgat,mbert-base,11737,0.790976860618924
en,de,None,None,mbert-base,11737,0.8004864716886833
en,de,stanza,rgcn,mbert-base,15123,0.794769576415352
en,de,stanza,rgat,mbert-base,15123,0.7783072949306965
en,de,trankit,rgcn,mbert-base,15123,0.7836416820231942
en,de,trankit,rgat,mbert-base,15123,0.7761394541254374
en,de,None,None,mbert-base,15123,0.7841881438452231
en,de,stanza,rgcn,mbert-base,98105,0.8059057575636934
en,de,stanza,rgat,mbert-base,98105,0.7962616223193031
en,de,trankit,rgcn,mbert-base,98105,0.7985233241119166
en,de,trankit,rgat,mbert-base,98105,0.7741812266958216
en,de,None,None,mbert-base,98105,0.7566328114837477
en,de,stanza,rgcn,mbert-base,98109,0.8043520934270109
en,de,stanza,rgat,mbert-base,98109,0.7906793516676668
en,de,trankit,rgcn,mbert-base,98109,0.782263570658452
en,de,trankit,rgat,mbert-base,98109,0.7979921497024605
en,de,None,None,mbert-base,98109,0.7780491640251689
en,de,stanza,rgcn,mbert-base,15232,0.7674892275301709
en,de,stanza,rgat,mbert-base,15232,0.7895836632051014
en,de,trankit,rgcn,mbert-base,15232,0.7836348634075633
en,de,trankit,rgat,mbert-base,15232,0.7811196810030413
en,de,None,None,mbert-base,15232,0.7587777565965554
en,de,stanza,rgcn,xlmr-base,11737,0.7446170453896993
en,de,stanza,rgat,xlmr-base,11737,0.6584868230699898
en,de,trankit,rgcn,xlmr-base,11737,0.6957535936251891
en,de,trankit,rgat,xlmr-base,11737,0.7136544928157866
en,de,None,None,xlmr-base,11737,0.7778922365781518
en,de,stanza,rgcn,xlmr-base,15123,0.7384732885648235
