feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
lex_len,es,es,residual,trankit,mbert-base,Medium,-0.004178820639115899
dep_len,es,es,residual,trankit,mbert-base,High,-0.0041106198828410045
dep_len,es,es,residual,trankit,mbert-base,Medium,-0.005212405210690441
dep_len,es,es,residual,trankit,mbert-base,Low,0.0009867814888625537
sent_len,es,es,residual,trankit,xlmr-base,Medium,-0.006232939516844449
sent_len,es,es,residual,trankit,xlmr-base,Low,-0.002430664931375559
sent_len,es,es,residual,trankit,xlmr-base,High,0.001077415248154523
lex_len,es,es,residual,trankit,xlmr-base,High,-0.0026461685275441793
lex_len,es,es,residual,trankit,xlmr-base,Low,0.0003778320251143219
lex_len,es,es,residual,trankit,xlmr-base,Medium,-0.0035467222550574773
dep_len,es,es,residual,trankit,xlmr-base,High,-0.0040165931339376515
dep_len,es,es,residual,trankit,xlmr-base,Medium,-0.004487805173875925
dep_len,es,es,residual,trankit,xlmr-base,Low,0.0010146866602329663
sent_len,es,fr,residual,stanza,mbert-base,High,-0.00030166133423203956
sent_len,es,fr,residual,stanza,mbert-base,Medium,-0.008680680371173866
sent_len,es,fr,residual,stanza,mbert-base,Low,0.008646067706768568
lex_len,es,fr,residual,stanza,mbert-base,High,-0.0021570637328520714
lex_len,es,fr,residual,stanza,mbert-base,Low,0.0010312274603675453
lex_len,es,fr,residual,stanza,mbert-base,Medium,-0.0036527236057606327
dep_len,es,fr,residual,stanza,mbert-base,High,-0.003882985805510719
dep_len,es,fr,residual,stanza,mbert-base,Medium,-0.0032932412104753617
dep_len,es,fr,residual,stanza,mbert-base,Low,0.0023290283612058538
sent_len,es,fr,residual,stanza,xlmr-base,Medium,-0.004466449434093356
sent_len,es,fr,residual,stanza,xlmr-base,Low,0.0010618460188211998
sent_len,es,fr,residual,stanza,xlmr-base,High,5.907835062635147e-05
lex_len,es,fr,residual,stanza,xlmr-base,High,-0.0011255728499465212
lex_len,es,fr,residual,stanza,xlmr-base,Low,0.0005571053362747325
