src,tgt,dep_model,gnn_model,ml_model,seed,f1
hi,en,stanza,rgat,mbert-base,98105,0.6311958815999436
hi,en,trankit,rgcn,mbert-base,98105,0.6781845843336044
hi,en,trankit,rgat,mbert-base,98105,0.6575331067082871
hi,en,None,None,mbert-base,98105,0.6579617712348912
hi,en,stanza,rgcn,mbert-base,98109,0.687538083807192
hi,en,stanza,rgat,mbert-base,98109,0.6621400621160405
hi,en,trankit,rgcn,mbert-base,98109,0.6916580112057636
hi,en,trankit,rgat,mbert-base,98109,0.6337499732571342
hi,en,None,None,mbert-base,98109,0.6360244780675341
hi,en,stanza,rgcn,mbert-base,15232,0.6728689596871782
hi,en,stanza,rgat,mbert-base,15232,0.7100291280133005
hi,en,trankit,rgcn,mbert-base,15232,0.6672641485967994
hi,en,trankit,rgat,mbert-base,15232,0.6650505015657586
hi,en,None,None,mbert-base,15232,0.7188438000290692
hi,en,stanza,rgcn,xlmr-base,11737,0.3150812690448418
hi,en,stanza,rgat,xlmr-base,11737,0.5408120270681844
hi,en,trankit,rgcn,xlmr-base,11737,0.588910035818679
hi,en,trankit,rgat,xlmr-base,11737,0.5009975564689234
hi,en,None,None,xlmr-base,11737,0.5225040548665468
hi,en,stanza,rgcn,xlmr-base,15123,0.567725910444133
hi,en,stanza,rgat,xlmr-base,15123,0.5641545982261491
hi,en,trankit,rgcn,xlmr-base,15123,0.5909060721973075
hi,en,trankit,rgat,xlmr-base,15123,0.6029048750562211
hi,en,None,None,xlmr-base,15123,0.5474929829454797
hi,en,stanza,rgcn,xlmr-base,98105,0.59157496968349
hi,en,stanza,rgat,xlmr-base,98105,0.6223832340905893
hi,en,trankit,rgcn,xlmr-base,98105,0.5645667564086287
hi,en,trankit,rgat,xlmr-base,98105,0.5432004015831365
hi,en,None,None,xlmr-base,98105,0.566685851237601
hi,en,stanza,rgcn,xlmr-base,98109,0.5222156832710831
hi,en,stanza,rgat,xlmr-base,98109,0.5762701883798219
hi,en,trankit,rgcn,xlmr-base,98109,0.5889319572234606
hi,en,trankit,rgat,xlmr-base,98109,0.5736972149986457
hi,en,None,None,xlmr-base,98109,0.6084134067598562
hi,en,stanza,rgcn,xlmr-base,15232,0.562902413573092
hi,en,stanza,rgat,xlmr-base,15232,0.6327685365183768
hi,en,trankit,rgcn,xlmr-base,15232,0.6065848675044155
hi,en,trankit,rgat,xlmr-base,15232,0.2705784615425211
hi,en,None,None,xlmr-base,15232,0.5985499677720312
hi,hi,stanza,rgcn,mbert-base,11737,0.9033486041630348
hi,hi,stanza,rgat,mbert-base,11737,0.8786444221512338
hi,hi,trankit,rgcn,mbert-base,11737,0.8951714894841728
hi,hi,trankit,rgat,mbert-base,11737,0.8888786789905809
hi,hi,None,None,mbert-base,11737,0.9017754349872094
hi,hi,stanza,rgcn,mbert-base,15123,0.9120636102048535
hi,hi,stanza,rgat,mbert-base,15123,0.887909132486524
hi,hi,trankit,rgcn,mbert-base,15123,0.8937785829950073
hi,hi,trankit,rgat,mbert-base,15123,0.8713989729982623
hi,hi,None,None,mbert-base,15123,0.8872392827594845
hi,hi,stanza,rgcn,mbert-base,98105,0.888760889900528
hi,hi,stanza,rgat,mbert-base,98105,0.914649295187655
hi,hi,trankit,rgcn,mbert-base,98105,0.8985330627584827
hi,hi,trankit,rgat,mbert-base,98105,0.8836360457127487
hi,hi,None,None,mbert-base,98105,0.8923050277700367
hi,hi,stanza,rgcn,mbert-base,98109,0.9097943150443714
hi,hi,stanza,rgat,mbert-base,98109,0.8811713572238645
hi,hi,trankit,rgcn,mbert-base,98109,0.8981036488361156
hi,hi,trankit,rgat,mbert-base,98109,0.8949516227648923
hi,hi,None,None,mbert-base,98109,0.8951116104643766
hi,hi,stanza,rgcn,mbert-base,15232,0.9046429627615059
hi,hi,stanza,rgat,mbert-base,15232,0.8837585456687638
hi,hi,trankit,rgcn,mbert-base,15232,0.8854280080255237
hi,hi,trankit,rgat,mbert-base,15232,0.8700294084314713
hi,hi,None,None,mbert-base,15232,0.874127048405904
hi,hi,stanza,rgcn,xlmr-base,11737,0.819278608840231
hi,hi,stanza,rgat,xlmr-base,11737,0.8859568219325515
hi,hi,trankit,rgcn,xlmr-base,11737,0.8977153053960584
hi,hi,trankit,rgat,xlmr-base,11737,0.8838756627929713
hi,hi,None,None,xlmr-base,11737,0.8732377639135442
hi,hi,stanza,rgcn,xlmr-base,15123,0.8828194832142072
hi,hi,stanza,rgat,xlmr-base,15123,0.9019769230808621
hi,hi,trankit,rgcn,xlmr-base,15123,0.8887510698608676
hi,hi,trankit,rgat,xlmr-base,15123,0.8858374127425933
hi,hi,None,None,xlmr-base,15123,0.8775109738574325
hi,hi,stanza,rgcn,xlmr-base,98105,0.8803301184259633
hi,hi,stanza,rgat,xlmr-base,98105,0.8856787428294862
hi,hi,trankit,rgcn,xlmr-base,98105,0.8902538319912588
hi,hi,trankit,rgat,xlmr-base,98105,0.8546857679749273
hi,hi,None,None,xlmr-base,98105,0.8986924115409555
hi,hi,stanza,rgcn,xlmr-base,98109,0.8969094901585887
hi,hi,stanza,rgat,xlmr-base,98109,0.8796226953860243
hi,hi,trankit,rgcn,xlmr-base,98109,0.9098960974696593
hi,hi,trankit,rgat,xlmr-base,98109,0.9065981113865567
hi,hi,None,None,xlmr-base,98109,0.8834472118864583
hi,hi,stanza,rgcn,xlmr-base,15232,0.9093860315443716
hi,hi,stanza,rgat,xlmr-base,15232,0.9084657118724797
hi,hi,trankit,rgcn,xlmr-base,15232,0.8896866365404664
hi,hi,trankit,rgat,xlmr-base,15232,0.8320250720636784
hi,hi,None,None,xlmr-base,15232,0.8748674647553351
hi,te,stanza,rgcn,mbert-base,11737,0.4500042522289083
hi,te,stanza,rgat,mbert-base,11737,0.4931282732238848
hi,te,trankit,rgcn,mbert-base,11737,0.43990695626393805
hi,te,trankit,rgat,mbert-base,11737,0.5298816068581457
hi,te,None,None,mbert-base,11737,0.5273851899991074
hi,te,stanza,rgcn,mbert-base,15123,0.4967865650863892
hi,te,stanza,rgat,mbert-base,15123,0.42141348106167037
hi,te,trankit,rgcn,mbert-base,15123,0.5199661585890768
hi,te,trankit,rgat,mbert-base,15123,0.5346739416284696
hi,te,None,None,mbert-base,15123,0.4870707506276368
hi,te,stanza,rgcn,mbert-base,98105,0.43967549548839174
hi,te,stanza,rgat,mbert-base,98105,0.49198999304678437
hi,te,trankit,rgcn,mbert-base,98105,0.46767994485276837
hi,te,trankit,rgat,mbert-base,98105,0.5511817461381654
hi,te,None,None,mbert-base,98105,0.4719124193672314
hi,te,stanza,rgcn,mbert-base,98109,0.5019920545304274
hi,te,stanza,rgat,mbert-base,98109,0.4849751965516161
hi,te,trankit,rgcn,mbert-base,98109,0.4370776790295144
hi,te,trankit,rgat,mbert-base,98109,0.47705000531901115
hi,te,None,None,mbert-base,98109,0.45161357397055957
hi,te,stanza,rgcn,mbert-base,15232,0.4840476362634537
hi,te,stanza,rgat,mbert-base,15232,0.5055735848719719
hi,te,trankit,rgcn,mbert-base,15232,0.5001241950172853
hi,te,trankit,rgat,mbert-base,15232,0.4451235257690851
hi,te,None,None,mbert-base,15232,0.4606722278501557
hi,te,stanza,rgcn,xlmr-base,11737,0.3281979426168337
hi,te,stanza,rgat,xlmr-base,11737,0.4897123113511714
hi,te,trankit,rgcn,xlmr-base,11737,0.5240136997099775
