DEP,GNN,ENC,Src,en,es,fr,it,de,ar,zh,ALL
trankit,rgcn,mbert-base,de,0.796647748204203,0.8058882289384254,0.7785355691363861,0.7506638666616653,-,0.7330799721655864,0.7006828691534538,0.7609163757099533
trankit,rgat,mbert-base,de,0.8069286017614962,0.7918230350945201,0.7775313773731103,0.7739049781731566,-,0.7366992338524562,0.7063061472255173,0.7655322289133761
-,-,mbert-base,de,0.8040098452736258,0.8002371198810566,0.7825888371821277,0.7612577083251478,-,0.7583920123089017,0.716128692784836,0.7704357026259493
stanza,rgcn,xlmr-base,en,-,0.7440946998117735,0.7271455883584849,0.6738811323764011,0.7460590656092965,0.632185420736626,0.6510382710089165,0.6957340296502497
stanza,rgat,xlmr-base,en,-,0.7310950042406094,0.727478341526805,0.6649555719545922,0.7110490934547187,0.5961339230263398,0.6218181168031104,0.6754216751676959
trankit,rgcn,xlmr-base,en,-,0.7444031756740198,0.7202427493635396,0.6538982481585708,0.715048631753913,0.6263256342578022,0.6461242794665233,0.6843404531123949
trankit,rgat,xlmr-base,en,-,0.7490108012481592,0.7034349876011854,0.6242034104114481,0.7393941112588319,0.6145792854463367,0.6645099245792289,0.6825220867575316
-,-,xlmr-base,en,-,0.7313072509958397,0.7276535730998747,0.6417133092533822,0.7556595060758,0.6174306493412914,0.6441754576083963,0.6863232910624308
stanza,rgcn,xlmr-base,es,0.7340357431333988,-,0.7511843786380838,0.6831743159231922,0.6733344956957773,0.6193902208211381,0.6243649979669728,0.6809140253630939
stanza,rgat,xlmr-base,es,0.7266361715432463,-,0.7523620717570294,0.6928690036229481,0.6726404267417138,0.6053060917646164,0.6283552775960132,0.6796948405042612
trankit,rgcn,xlmr-base,es,0.7379945587024491,-,0.7591987122971485,0.6981414685220212,0.6996655126077261,0.64274429095075,0.6558166350835906,0.6989268630272809
trankit,rgat,xlmr-base,es,0.7136681041909801,-,0.761822826293255,0.6804248340639382,0.6866258893633951,0.6000521041719086,0.6245857581083133,0.6778632526986318
-,-,xlmr-base,es,0.7326756216519731,-,0.7433374050348455,0.7007964411468994,0.7060815872494555,0.6322140173303209,0.6585125282351129,0.6956029334414345
stanza,rgcn,xlmr-base,fr,0.7429212625014197,0.7405710575653749,-,0.6974071202514223,0.7218623363586061,0.5871085285088906,0.629008973237911,0.6864798797372708
stanza,rgat,xlmr-base,fr,0.7009783579774395,0.7388899954479378,-,0.670401613863806,0.6623872678747739,0.5901410548484831,0.6026043401209927,0.6609004383555721
trankit,rgcn,xlmr-base,fr,0.7002675285621972,0.7442285651611913,-,0.6842804784269721,0.6642967681755351,0.5890216261207184,0.5951427182846419,0.6628729474552093
trankit,rgat,xlmr-base,fr,0.7181148289716605,0.7596078023270961,-,0.6815510494197495,0.7061107153535047,0.6153080856309576,0.5991830305669162,0.6799792520449808
-,-,xlmr-base,fr,0.7112604633576801,0.7503292250818511,-,0.6890863309293693,0.6848045444167626,0.6153564205877217,0.5936582009095255,0.6740825308804851
stanza,rgcn,xlmr-base,it,0.7326145826394791,0.7614546097426939,0.7432377116750849,-,0.6719153744948546,0.6178799603066543,0.6312611668754381,0.6930605676223675
stanza,rgat,xlmr-base,it,0.7488240138436387,0.7602572291080909,0.7416406968125245,-,0.689079975015917,0.6221417168238751,0.6469869209687958,0.7014884254288068
trankit,rgcn,xlmr-base,it,0.733068292041719,0.7702685354480305,0.747539596570498,-,0.6998613116805356,0.6450797737015349,0.6467367903022714,0.7070923832907648
trankit,rgat,xlmr-base,it,0.7262966234273311,0.7866981105980186,0.7663310830509117,-,0.7019640199183872,0.6357067200893733,0.6462951780951162,0.7105486225298563
-,-,xlmr-base,it,0.7121809064860818,0.7612817130383105,0.7216757767803705,-,0.6817192569714315,0.6081273503013791,0.6199586703472377,0.6841572789874686
stanza,rgcn,xlmr-base,de,0.726328742439844,0.7340934190000677,0.7084769464347551,0.651822552444186,-,0.6055224799403492,0.6601654781842413,0.681068269740574
stanza,rgat,xlmr-base,de,0.7613457950573658,0.7354895605088073,0.7150413077374328,0.6898305592610637,-,0.6404504445761627,0.6580274213151424,0.7000308480759959
trankit,rgcn,xlmr-base,de,0.7405533961600685,0.7281188889540132,0.6960278885721619,0.6364451354303395,-,0.6344670546276451,0.6448405061733576,0.6800754783195977
trankit,rgat,xlmr-base,de,0.7499190747839551,0.7321411857077558,0.7027729564487166,0.6486751672226273,-,0.6367604242543895,0.6443291091167892,0.6857663195890389
-,-,xlmr-base,de,0.749622241855825,0.7244790549180745,0.6931966199230674,0.6409753558516251,-,0.6081617461715454,0.6399560389872846,0.6760651762845703
