src,tgt,dep_model,gnn_model,ml_model,top_seed,top_f1_mean,top_f1_std,all_f1_mean,all_f1_std
es,ar,stanza,rgcn,xlmr-base,"[98105, 11737, 98109]",61.94,1.23,60.77,1.73
es,ar,stanza,rgat,xlmr-base,"[15232, 11737, 98105]",60.53,1.37,59.52,1.66
es,ar,trankit,rgcn,xlmr-base,"[15123, 11737, 15232]",64.27,2.11,62.24,3.53
es,ar,trankit,rgat,xlmr-base,"[98105, 11737, 15232]",60.01,0.89,58.68,1.89
es,ar,None,None,xlmr-base,"[98109, 11737, 15123]",63.22,3.12,60.53,4.28
es,zh,stanza,rgcn,mbert-base,"[98105, 11737, 98109]",69.17,0.62,68.52,0.99
es,zh,stanza,rgat,mbert-base,"[11737, 15232, 98105]",69.73,1.53,68.64,1.85
es,zh,trankit,rgcn,mbert-base,"[98105, 98109, 11737]",71.5,1.59,69.22,3.06
es,zh,trankit,rgat,mbert-base,"[98109, 11737, 15123]",71.2,2.64,69.26,3.31
es,zh,None,None,mbert-base,"[98109, 15123, 98105]",70.81,1.09,69.67,1.89
es,zh,stanza,rgcn,xlmr-base,"[98105, 98109, 15232]",62.44,1.4,60.62,2.54
es,zh,stanza,rgat,xlmr-base,"[15232, 11737, 98105]",62.84,1.8,60.7,3.17
es,zh,trankit,rgcn,xlmr-base,"[11737, 15123, 98105]",65.58,2.65,63.02,3.97
es,zh,trankit,rgat,xlmr-base,"[98105, 15232, 11737]",62.46,2.33,60.65,2.98
es,zh,None,None,xlmr-base,"[98109, 15123, 11737]",65.85,1.88,64.46,2.28
fr,en,stanza,rgcn,mbert-base,"[98109, 15232, 11737]",76.56,0.33,76.0,0.87
fr,en,stanza,rgat,mbert-base,"[98105, 15232, 98109]",80.01,0.72,78.46,1.99
fr,en,trankit,rgcn,mbert-base,"[98109, 98105, 15232]",78.6,0.25,77.85,0.95
fr,en,trankit,rgat,mbert-base,"[98109, 98105, 11737]",80.14,0.77,78.21,2.48
fr,en,None,None,mbert-base,"[11737, 98109, 15123]",76.59,2.95,74.27,3.69
fr,en,stanza,rgcn,xlmr-base,"[98105, 15123, 98109]",74.29,1.72,71.29,3.91
fr,en,stanza,rgat,xlmr-base,"[98109, 15232, 11737]",70.1,1.49,68.52,2.29
fr,en,trankit,rgcn,xlmr-base,"[15123, 15232, 98109]",70.03,0.25,68.47,1.97
fr,en,trankit,rgat,xlmr-base,"[11737, 15123, 15232]",71.81,1.26,70.75,1.75
fr,en,None,None,xlmr-base,"[11737, 15123, 98105]",71.13,0.94,68.44,3.53
fr,es,stanza,rgcn,mbert-base,"[98109, 11737, 15232]",82.06,1.05,81.4,1.19
fr,es,stanza,rgat,mbert-base,"[15232, 98105, 11737]",82.14,0.94,80.69,1.94
fr,es,trankit,rgcn,mbert-base,"[11737, 15232, 98105]",83.31,1.59,82.26,1.79
fr,es,trankit,rgat,mbert-base,"[11737, 98105, 15232]",79.73,2.05,78.44,2.24
fr,es,None,None,mbert-base,"[11737, 98105, 15123]",80.42,1.34,79.05,1.99
fr,es,stanza,rgcn,xlmr-base,"[15123, 11737, 15232]",74.06,1.07,73.56,1.03
fr,es,stanza,rgat,xlmr-base,"[15232, 98109, 11737]",73.89,1.34,72.79,1.84
fr,es,trankit,rgcn,xlmr-base,"[15123, 15232, 98105]",74.42,0.49,73.58,1.16
fr,es,trankit,rgat,xlmr-base,"[15232, 98109, 15123]",75.96,0.66,74.83,1.55
fr,es,None,None,xlmr-base,"[11737, 98109, 98105]",75.03,0.57,74.61,0.76
fr,fr,stanza,rgcn,mbert-base,"[15232, 98109, 15123]",79.65,1.04,78.29,1.85
fr,fr,stanza,rgat,mbert-base,"[15232, 98109, 11737]",79.9,0.35,79.2,1.15
fr,fr,trankit,rgcn,mbert-base,"[98109, 11737, 98105]",80.75,0.77,80.13,1.02
fr,fr,trankit,rgat,mbert-base,"[98105, 98109, 11737]",80.2,0.18,79.28,1.44
fr,fr,None,None,mbert-base,"[98109, 11737, 15123]",78.64,0.33,78.31,0.49
fr,fr,stanza,rgcn,xlmr-base,"[11737, 98105, 15123]",76.68,0.87,75.67,1.63
fr,fr,stanza,rgat,xlmr-base,"[98109, 15123, 11737]",74.43,0.94,73.57,1.46
fr,fr,trankit,rgcn,xlmr-base,"[15123, 15232, 98109]",74.7,1.02,73.93,1.23
fr,fr,trankit,rgat,xlmr-base,"[98109, 15232, 11737]",75.03,0.26,74.28,1.1
fr,fr,None,None,xlmr-base,"[11737, 15123, 98105]",76.25,1.01,75.26,1.51
fr,it,stanza,rgcn,mbert-base,"[11737, 15232, 15123]",77.68,0.67,76.85,1.25
fr,it,stanza,rgat,mbert-base,"[11737, 98105, 98109]",76.99,1.01,76.01,1.53
fr,it,trankit,rgcn,mbert-base,"[15232, 15123, 98109]",78.72,1.13,77.28,2.16
fr,it,trankit,rgat,mbert-base,"[98105, 11737, 98109]",76.57,1.54,75.1,2.38
fr,it,None,None,mbert-base,"[11737, 15123, 98109]",76.91,1.99,75.67,2.28
fr,it,stanza,rgcn,xlmr-base,"[15123, 11737, 98109]",69.74,0.61,68.06,2.19
fr,it,stanza,rgat,xlmr-base,"[15232, 98109, 15123]",67.04,1.47,65.75,1.99
fr,it,trankit,rgcn,xlmr-base,"[11737, 15232, 15123]",68.43,0.71,66.51,2.42
fr,it,trankit,rgat,xlmr-base,"[15232, 98105, 11737]",68.16,0.76,66.78,1.83
fr,it,None,None,xlmr-base,"[15123, 98105, 98109]",68.91,0.58,67.88,1.39
fr,de,stanza,rgcn,mbert-base,"[11737, 15123, 15232]",76.63,0.23,75.45,1.48
fr,de,stanza,rgat,mbert-base,"[15232, 98109, 11737]",77.51,1.47,75.87,2.32
fr,de,trankit,rgcn,mbert-base,"[98109, 98105, 15123]",78.76,2.51,77.01,2.9
fr,de,trankit,rgat,mbert-base,"[11737, 98109, 98105]",77.37,0.14,76.67,1.07
fr,de,None,None,mbert-base,"[11737, 15232, 15123]",74.79,1.63,73.75,1.8
fr,de,stanza,rgcn,xlmr-base,"[15123, 98105, 98109]",72.19,1.35,69.77,3.14
